开始时间,持续时间,事件大类,事件类别,内容类型,事件内容,备注,Tag,状态
2022-02-24 19:00,30,未分类,摸鱼,未分类,,,,已完成
2022-02-24 19:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-24 19:45,15,未分类,家务事,未分类,,,,已完成
2022-02-24 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-02-24 20:15,30,未分类,学习,未分类,,,,已完成
2022-02-24 20:45,30,未分类,打游戏,未分类,,,,已完成
2022-02-24 21:15,15,未分类,学习,未分类,,,,已完成
2022-02-24 21:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-24 21:45,15,未分类,学习,未分类,,,,已完成
2022-02-24 22:00,90,未分类,摸鱼,未分类,,,,已完成
2022-02-24 23:30,45,未分类,碎片时间,未分类,,,,已完成
2022-02-25 00:15,60,未分类,摸鱼,未分类,,,,已完成
2022-02-25 01:15,300,未分类,休息,未分类,,,,已完成
2022-02-25 06:15,30,未分类,摸鱼,未分类,,,,已完成
2022-02-25 06:45,120,未分类,休息,未分类,,,,已完成
2022-02-25 08:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-25 09:00,30,未分类,学习,未分类,,,,已完成
2022-02-25 09:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-25 09:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-25 10:00,15,未分类,学习,未分类,,,,已完成
2022-02-25 10:15,45,未分类,摸鱼,未分类,,,,已完成
2022-02-25 11:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-25 11:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-25 11:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-25 11:45,15,未分类,家务事,未分类,,,,已完成
2022-02-25 12:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-25 12:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-25 12:30,120,未分类,打游戏,未分类,,,,已完成
2022-02-25 14:30,60,未分类,碎片时间,未分类,,,,已完成
2022-02-25 15:30,105,未分类,摸鱼,未分类,,,,已完成
2022-02-25 17:15,30,未分类,碎片时间,未分类,,,,已完成
2022-02-25 17:45,45,未分类,家务事,未分类,,,,已完成
2022-02-25 18:30,30,未分类,摸鱼,未分类,,,,已完成
2022-02-25 19:00,15,未分类,家务事,未分类,,,,已完成
2022-02-25 19:15,90,未分类,碎片时间,未分类,,,,已完成
2022-02-25 20:45,60,未分类,摸鱼,未分类,,,,已完成
2022-02-25 21:45,15,未分类,学习,未分类,,,,已完成
2022-02-25 22:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-25 22:15,30,未分类,学习,未分类,,,,已完成
2022-02-25 22:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-25 23:00,15,未分类,摸鱼,未分类,,,,已完成
2022-02-25 23:15,30,未分类,学习,未分类,,,,已完成
2022-02-25 23:45,30,未分类,摸鱼,未分类,,,,已完成
2022-02-26 00:15,15,未分类,隐私相关1,未分类,,,,已完成
2022-02-26 00:30,480,未分类,休息,未分类,,,,已完成
2022-02-26 08:30,45,未分类,摸鱼,未分类,,,,已完成
2022-02-26 09:15,120,未分类,碎片时间,未分类,,,,已完成
2022-02-26 11:15,30,未分类,摸鱼,未分类,,,,已完成
2022-02-26 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-26 12:00,30,未分类,摸鱼,未分类,,,,已完成
2022-02-26 12:30,90,未分类,打游戏,未分类,,,,已完成
2022-02-26 14:00,30,未分类,摸鱼,未分类,,,,已完成
2022-02-26 14:30,15,未分类,学习,未分类,,,,已完成
2022-02-26 14:45,30,未分类,碎片时间,未分类,,,,已完成
2022-02-26 15:15,30,未分类,学习,未分类,,,,已完成
2022-02-26 15:45,60,未分类,碎片时间,未分类,,,,已完成
2022-02-26 16:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-26 17:00,30,未分类,打游戏,未分类,,,,已完成
2022-02-26 17:30,45,未分类,摸鱼,未分类,,,,已完成
2022-02-26 18:15,30,未分类,家务事,未分类,,,,已完成
2022-02-26 18:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-26 19:00,30,未分类,家务事,未分类,,,,已完成
2022-02-26 19:30,45,未分类,摸鱼,未分类,,,,已完成
2022-02-26 20:15,45,未分类,打游戏,未分类,,,,已完成
2022-02-26 21:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-26 21:15,15,未分类,打游戏,未分类,,,,已完成
2022-02-26 21:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-26 21:45,60,未分类,打游戏,未分类,,,,已完成
2022-02-26 22:45,45,未分类,摸鱼,未分类,,,,已完成
2022-02-26 23:30,30,未分类,学习,未分类,,,,已完成
2022-02-27 00:00,30,未分类,隐私相关1,未分类,,,,已完成
2022-02-27 00:30,450,未分类,休息,未分类,,,,已完成
2022-02-27 08:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-27 08:15,15,未分类,学习,未分类,,,,已完成
2022-02-27 08:30,30,未分类,摸鱼,未分类,,,,已完成
2022-02-27 09:00,15,未分类,学习,未分类,,,,已完成
2022-02-27 09:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-27 09:30,30,未分类,学习,未分类,,,,已完成
2022-02-27 10:00,15,未分类,打游戏,未分类,,,,已完成
2022-02-27 10:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-27 10:30,15,未分类,学习,未分类,,,,已完成
2022-02-27 10:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-27 11:00,30,未分类,家务事,未分类,,,,已完成
2022-02-27 11:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-27 11:45,30,未分类,碎片时间,未分类,,,,已完成
2022-02-27 12:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-27 12:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-27 12:45,90,未分类,业余爱好,未分类,,,,已完成
2022-02-27 14:15,60,未分类,摸鱼,未分类,,,,已完成
2022-02-27 15:15,30,未分类,碎片时间,未分类,,,,已完成
2022-02-27 15:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-27 16:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-27 16:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-27 16:30,30,未分类,学习,未分类,,,,已完成
2022-02-27 17:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-27 17:15,45,未分类,摸鱼,未分类,,,,已完成
2022-02-27 18:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-27 18:15,15,未分类,家务事,未分类,,,,已完成
2022-02-27 18:30,60,未分类,碎片时间,未分类,,,,已完成
2022-02-27 19:30,15,未分类,家务事,未分类,,,,已完成
2022-02-27 19:45,90,未分类,碎片时间,未分类,,,,已完成
2022-02-27 21:15,30,未分类,摸鱼,未分类,,,,已完成
2022-02-27 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-27 22:00,15,未分类,打游戏,未分类,,,,已完成
2022-02-27 22:15,120,未分类,碎片时间,未分类,,,,已完成
2022-02-28 00:15,30,未分类,摸鱼,未分类,,,,已完成
2022-02-28 00:45,435,未分类,休息,未分类,,,,已完成
2022-02-28 08:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-28 08:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 08:30,15,未分类,学习,未分类,,,,已完成
2022-02-28 08:45,30,未分类,摸鱼,未分类,,,,已完成
2022-02-28 09:15,60,未分类,隐私相关1,未分类,,,,已完成
2022-02-28 10:15,15,未分类,学习,未分类,,,,已完成
2022-02-28 10:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 10:45,45,未分类,隐私相关1,未分类,,,,已完成
2022-02-28 11:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 11:45,15,未分类,家务事,未分类,,,,已完成
2022-02-28 12:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-28 12:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 12:30,45,未分类,隐私相关1,未分类,,,,已完成
2022-02-28 13:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 13:30,30,未分类,碎片时间,未分类,,,,已完成
2022-02-28 14:00,75,未分类,业余爱好,未分类,,,,已完成
2022-02-28 15:15,15,未分类,碎片时间,未分类,,,,已完成
2022-02-28 15:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 15:45,60,未分类,学习,未分类,,,,已完成
2022-02-28 16:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 17:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-02-28 17:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 17:30,15,未分类,打游戏,未分类,,,,已完成
2022-02-28 17:45,15,未分类,隐私相关1,未分类,,,,已完成
2022-02-28 18:00,30,未分类,碎片时间,未分类,,,,已完成
2022-02-28 18:30,45,未分类,摸鱼,未分类,,,,已完成
2022-02-28 19:15,15,未分类,家务事,未分类,,,,已完成
2022-02-28 19:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-28 19:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-28 20:00,60,未分类,打游戏,未分类,,,,已完成
2022-02-28 21:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-28 21:15,75,未分类,摸鱼,未分类,,,,已完成
2022-02-28 22:30,75,未分类,代码,未分类,,,,已完成
2022-02-28 23:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-01 00:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-01 01:00,420,未分类,休息,未分类,,,,已完成
2022-03-01 08:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-01 08:15,30,未分类,代码,未分类,,,,已完成
2022-03-01 08:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 09:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-01 09:15,75,未分类,摸鱼,未分类,,,,已完成
2022-03-01 10:30,15,未分类,学习,未分类,,,,已完成
2022-03-01 10:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 11:00,60,未分类,家务事,未分类,,,,已完成
2022-03-01 12:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-01 12:30,30,未分类,打游戏,未分类,,,,已完成
2022-03-01 13:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 13:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-01 13:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-01 14:15,30,未分类,学习,未分类,,,,已完成
2022-03-01 14:45,15,未分类,代码,未分类,,,,已完成
2022-03-01 15:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-01 15:30,60,未分类,摸鱼,未分类,,,,已完成
2022-03-01 16:30,75,未分类,打游戏,未分类,,,,已完成
2022-03-01 17:45,30,未分类,家务事,未分类,,,,已完成
2022-03-01 18:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 18:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-01 19:00,15,未分类,家务事,未分类,,,,已完成
2022-03-01 19:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-01 19:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 20:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-01 20:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 20:45,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-01 21:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 21:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-01 21:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-01 22:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-01 22:15,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-01 22:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-01 22:45,15,未分类,构思,未分类,,,,已完成
2022-03-01 23:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-01 23:15,15,未分类,构思,未分类,,,,已完成
2022-03-01 23:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-01 23:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-02 00:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-02 00:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-02 00:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-02 00:45,495,未分类,休息,未分类,,,,已完成
2022-03-02 09:00,90,未分类,摸鱼,未分类,,,,已完成
2022-03-02 10:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-02 10:45,30,未分类,家务事,未分类,,,,已完成
2022-03-02 11:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-02 11:30,90,未分类,打游戏,未分类,,,,已完成
2022-03-02 13:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-02 13:30,15,未分类,构思,未分类,,,,已完成
2022-03-02 13:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-02 14:15,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-02 15:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-02 15:45,105,未分类,打游戏,未分类,,,,已完成
2022-03-02 17:30,30,未分类,家务事,未分类,,,,已完成
2022-03-02 18:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-02 18:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-02 19:15,30,未分类,家务事,未分类,,,,已完成
2022-03-02 19:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-02 20:00,75,未分类,摸鱼,未分类,,,,已完成
2022-03-02 21:15,15,未分类,代码,未分类,,,,已完成
2022-03-02 21:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-02 21:45,75,未分类,代码,未分类,,,,已完成
2022-03-02 23:00,90,未分类,打游戏,未分类,,,,已完成
2022-03-03 00:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-03 00:45,405,未分类,休息,未分类,,,,已完成
2022-03-03 07:30,105,未分类,摸鱼,未分类,,,,已完成
2022-03-03 09:15,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-03 09:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-03 10:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-03 10:15,45,未分类,代码,未分类,,,,已完成
2022-03-03 11:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-03 11:15,15,未分类,打游戏,未分类,,,,已完成
2022-03-03 11:30,15,未分类,家务事,未分类,,,,已完成
2022-03-03 11:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-03 12:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-03 12:45,105,未分类,打游戏,未分类,,,,已完成
2022-03-03 14:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-03 14:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-03 15:00,105,未分类,代码,未分类,,,,已完成
2022-03-03 16:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-03 17:30,15,未分类,代码,未分类,,,,已完成
2022-03-03 17:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-03 18:15,45,未分类,家务事,未分类,,,,已完成
2022-03-03 19:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-03 19:30,15,未分类,家务事,未分类,,,,已完成
2022-03-03 19:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-03 20:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-03 20:30,30,未分类,代码,未分类,,,,已完成
2022-03-03 21:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-03 21:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-03 22:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-03 22:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-03 23:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-03 23:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-03 23:45,465,未分类,休息,未分类,,,,已完成
2022-03-04 07:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-04 07:45,180,未分类,碎片时间,未分类,,,,已完成
2022-03-04 10:45,60,未分类,摸鱼,未分类,,,,已完成
2022-03-04 11:45,30,未分类,家务事,未分类,,,,已完成
2022-03-04 12:15,75,未分类,摸鱼,未分类,,,,已完成
2022-03-04 13:30,30,未分类,休息,未分类,,,,已完成
2022-03-04 14:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-04 14:15,60,未分类,碎片时间,未分类,,,,已完成
2022-03-04 15:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-04 15:30,45,未分类,业余爱好,未分类,,,,已完成
2022-03-04 16:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-04 16:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-04 16:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-04 17:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-04 17:45,30,未分类,家务事,未分类,,,,已完成
2022-03-04 18:15,60,未分类,碎片时间,未分类,,,,已完成
2022-03-04 19:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-04 19:45,30,未分类,打游戏,未分类,,,,已完成
2022-03-04 20:15,75,未分类,摸鱼,未分类,,,,已完成
2022-03-04 21:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-04 21:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-04 22:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-04 23:15,30,未分类,业余爱好,未分类,,,,已完成
2022-03-04 23:45,45,未分类,打游戏,未分类,,,,已完成
2022-03-05 00:30,60,未分类,摸鱼,未分类,,,,已完成
2022-03-05 01:30,495,未分类,休息,未分类,,,,已完成
2022-03-05 09:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-05 10:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-05 11:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-05 11:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-05 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-05 12:00,30,未分类,家务事,未分类,,,,已完成
2022-03-05 12:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-05 12:45,30,未分类,业余爱好,未分类,,,,已完成
2022-03-05 13:15,45,未分类,打游戏,未分类,,,,已完成
2022-03-05 14:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-05 14:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-05 14:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-05 14:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-05 15:00,30,未分类,学习,未分类,,,,已完成
2022-03-05 15:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-05 15:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-05 16:30,15,未分类,摸鱼,未分类,,,,已完成
